Time (sec),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Boost (PSI),TD Boost Error (PSI),A/F Learning 1 (%),Dynamic Adv. (°),Ignition Timing (°),MAF (g/s),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%)
0.000,0.53,1.000,0.00,0.00,-7.87,1.06,-0.78,0.20,34.50,21.57,2.00,2178,14.1,66.67
0.332,0.91,1.000,0.00,0.00,-3.57,7.67,-0.78,4.14,24.50,43.76,2.44,2224,26.7,65.49
0.697,1.21,1.000,0.00,0.00,-0.67,13.52,-0.78,5.05,21.00,48.27,2.52,2296,34.9,78.82
1.027,1.29,1.000,0.00,0.00,-0.06,14.52,0.00,4.95,20.50,51.69,2.58,2360,34.1,74.51
1.358,1.45,1.000,0.00,0.00,1.78,15.93,0.00,5.66,17.50,63.06,2.70,2406,100.0,75.69
1.688,1.63,1.000,0.00,0.00,3.42,14.05,0.00,5.99,16.50,71.54,2.84,2512,100.0,75.29
2.029,1.79,1.000,0.00,0.00,4.94,12.72,0.00,6.33,17.00,81.10,2.92,2644,100.0,72.55
2.354,1.99,1.000,0.00,0.00,6.66,11.16,0.00,6.68,15.00,94.46,3.02,2707,100.0,69.80
2.688,2.22,1.000,0.00,0.00,9.00,9.09,0.00,6.62,13.50,111.19,3.18,2910,100.0,68.63
3.028,2.48,1.000,0.00,0.00,11.66,6.54,0.00,6.36,13.00,130.73,3.40,3045,100.0,69.02
3.360,2.76,1.000,0.00,0.00,13.83,3.62,0.00,6.08,13.50,149.12,3.44,3256,100.0,69.41
3.689,2.68,1.000,0.00,0.00,13.90,4.53,0.00,5.98,14.00,138.84,3.40,3354,42.0,57.65
4.023,2.34,1.000,0.00,0.00,10.94,6.98,0.00,5.75,14.50,131.42,3.36,3478,40.8,58.04
4.360,2.28,1.000,0.00,0.00,10.07,7.83,0.00,5.62,14.50,134.44,3.40,3603,40.4,58.43
4.690,2.26,1.000,0.00,0.00,9.81,8.11,0.00,5.62,15.50,139.51,3.44,3780,40.4,58.82
5.021,2.22,1.000,0.00,0.00,9.40,8.50,0.00,5.62,17.00,140.53,3.44,3940,38.8,59.22
5.377,2.52,1.000,0.00,0.00,12.53,5.39,0.00,5.98,14.50,184.12,3.72,4063,100.0,71.37
5.708,2.92,1.000,0.00,0.00,16.22,1.82,0.00,5.98,14.00,213.07,3.86,4261,100.0,71.76
6.048,2.07,1.000,0.00,0.00,4.02,-9.69,0.00,5.62,25.00,74.97,2.84,4377,20.8,0.00
6.379,0.26,1.000,0.00,0.00,-10.40,-0.52,-0.78,0.00,8.00,12.93,1.74,4089,10.6,0.00
6.711,0.18,1.000,0.00,0.00,-10.93,-0.01,-0.78,0.00,4.50,10.04,1.64,3564,9.4,0.00
7.048,0.18,1.000,0.00,0.00,-10.71,1.25,-0.78,0.00,28.00,15.86,1.94,3259,16.9,44.71
7.377,0.94,1.000,0.00,0.00,-2.54,9.74,0.00,4.09,37.50,55.46,2.64,3234,27.8,56.08
7.714,1.26,1.000,0.00,0.00,0.43,17.09,0.00,5.06,26.50,81.79,2.92,3217,47.8,57.65
8.050,1.81,1.000,0.00,0.00,5.26,12.54,0.00,5.88,19.50,108.33,3.24,3275,100.0,69.80
8.378,2.25,1.000,0.00,0.00,9.81,8.11,0.00,5.83,14.50,131.14,3.36,3340,49.0,57.65
8.717,2.52,1.000,0.00,0.00,12.23,5.45,0.00,5.98,14.00,154.31,3.50,3491,62.4,63.53
9.043,2.75,1.000,0.00,0.00,14.69,3.11,0.00,5.98,13.00,170.93,3.58,3562,100.0,70.59
9.410,2.92,1.000,0.00,0.00,16.29,1.63,0.00,5.98,13.50,164.01,3.54,3700,48.6,58.43
9.735,2.50,1.000,0.00,0.00,12.47,5.22,0.00,5.81,14.50,145.29,3.48,3776,45.1,58.82
10.063,2.41,1.000,0.00,0.00,11.93,6.70,0.00,5.84,14.50,163.62,3.60,3802,100.0,70.98
10.427,2.80,1.000,0.00,0.00,15.24,2.64,0.00,5.98,14.00,189.18,3.76,3883,100.0,70.98
10.751,2.44,1.000,0.00,0.00,11.52,6.06,0.00,5.62,15.00,135.79,3.38,3967,35.3,56.86
11.108,0.81,1.000,0.00,0.00,-6.17,-3.75,-0.78,0.00,18.00,15.88,1.76,3929,10.6,0.00
11.438,0.22,1.000,0.00,0.00,-10.41,-0.53,-0.78,0.00,5.50,11.02,1.68,3421,9.8,0.00
11.774,0.20,1.000,0.00,0.00,-10.39,-0.58,0.00,0.00,5.50,9.70,1.60,2775,9.0,0.00
12.112,0.22,1.000,0.00,0.00,-10.61,-0.40,0.00,0.00,24.00,8.02,1.52,2137,7.8,0.00
12.440,0.21,1.000,0.00,0.00,-10.59,-0.47,0.00,0.00,24.00,7.24,1.48,2112,7.5,0.00
12.775,0.19,1.000,0.00,0.00,-10.96,0.01,0.00,0.00,24.00,8.54,1.56,2778,8.2,0.00
13.113,0.19,1.000,0.00,0.00,-10.87,-0.07,0.00,0.00,24.00,9.51,1.60,2862,8.6,0.00
13.442,0.19,1.000,0.00,0.00,-10.82,-0.11,0.00,0.00,24.00,9.46,1.62,2857,8.6,0.00
